unit,product,indic_nrg,geo,_2011,_2011_flag,_2010,_2010_flag,_2009,_2009_flag,_2008,_2008_flag,_2007,_2007_flag,_2006,_2006_flag,_2005,_2005_flag,_2004,_2004_flag,_2003,_2003_flag,_2002,_2002_flag,_2001,_2001_flag,_2000,_2000_flag,_1999,_1999_flag,_1998,_1998_flag,_1997,_1997_flag,_1996,_1996_flag,_1995,_1995_flag,_1994,_1994_flag,_1993,_1993_flag,_1992,_1992_flag,_1991,_1991_flag,_1990,_1990_flag,serialid
Terajoule,Solar energy,Iron and Steel,Italy,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,979
Terajoule,Solar energy,Iron and Steel,Lithuania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1279
Terajoule,Solar energy,Iron and Steel,Luxembourg,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1366
Terajoule,Solar energy,Iron and Steel,Latvia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1896
Terajoule,Solar energy,Non-Ferrous Metals,Ireland,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2166
Terajoule,Solar energy,Non-Ferrous Metals,Iceland,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2925
Terajoule,Solar energy,Non-Ferrous Metals,Italy,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3303
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Bulgaria,23,,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3598
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Austria,180,,168,,157,,118,,109,,101,,93,,87,,80,,70,,67,,63,,58,,55,,48,,42,,36,,29,,25,,23,,19,,15,,3628
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Belgium,115,,60,,25,,9,,5,,3,,3,,3,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3629
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Switzerland,,,51,,43,,33,,30,,28,,26,,25,,24,,23,,23,,22,,21,,19,,18,,17,,16,,14,,12,,11,,9,,8,,3630
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Cyprus,64,,61,,58,,56,,54,,43,,41,,40,,36,,35,,34,,35,,35,,34,,33,,32,,31,,0,,0,,0,,0,,0,,3631
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Czech Republic,198,,62,,14,,6,,4,,3,,2,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3632
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Germany (until 1990 former territory of the FRG),2218,,1452,,973,,735,,580,,472,,353,,262,,216,,184,,150,,115,,92,,77,,61,,48,,38,,31,,24,,19,,14,,11,,3633
Thousand tonnes of oil equivalent (TOE),Solar energy,Primary production,Denmark,20,,16,,14,,13,,12,,11,,10,,10,,9,,9,,8,,8,,8,,7,,7,,6,,5,,4,,4,,3,,3,,2,,3634
