indic_en,unit,geo,_2004,_2004_flag,_2005,_2005_flag,_2006,_2006_flag,_2007,_2007_flag,_2008,_2008_flag,_2009,_2009_flag,_2010,_2010_flag,_2011,_2011_flag,serialid
Share of renewable energy in electricity,Percentage,Austria,62.2,,62.3,,62.3,,64.5,,65.2,,67.8,,65.7,,66.1,,1
Share of renewable energy in electricity,Percentage,Belgium,1.7,Estimated,2.3,Estimated,2.9,Estimated,3.4,Estimated,4.4,Estimated,5.8,Estimated,6.9,Estimated,8.8,Estimated,2
Share of renewable energy in electricity,Percentage,Bulgaria,8.7,,9.0,,9.1,,9.2,,9.7,,11.0,,12.5,,12.9,,3
Share of renewable energy in electricity,Percentage,Cyprus,0.0,,0.0,,0.0,,0.1,,0.3,,0.6,,1.4,,3.4,,4
Share of renewable energy in electricity,Percentage,Czech Republic,3.9,,3.9,,4.2,,4.7,,5.2,,6.4,,7.5,,10.6,,5
Share of renewable energy in electricity,Percentage,Germany (until 1990 former territory of the FRG),8.9,,10.1,,11.4,,12.7,,13.6,,16.8,,18.1,,21.3,,6
Share of renewable energy in electricity,Percentage,Denmark,23.7,,24.6,,24.0,,25.0,,25.9,,28.3,,32.8,,35.9,,7
Share of renewable energy in electricity,Percentage,Estonia,0.6,,1.2,,1.5,,1.5,,2.1,,6.1,,10.4,,12.3,,8
Share of renewable energy in electricity,Percentage,Greece,8.6,,8.9,,9.7,,10.1,,10.4,,11.8,,13.1,,14.6,,9
Share of renewable energy in electricity,Percentage,Spain,18.7,,18.9,,19.8,,21.5,,23.6,,27.8,,29.8,,31.5,,10
Share of renewable energy in electricity,Percentage,European Union (27 countries),14.2,,14.7,,15.1,,15.8,,16.6,,18.8,,19.6,,21.7,,11
Share of renewable energy in electricity,Percentage,European Union (28 countries),14.3,,14.8,,15.3,,15.9,,16.7,,18.8,,19.7,,21.8,,12
Share of renewable energy in electricity,Percentage,Finland,26.7,,26.9,,26.4,,25.5,,27.3,,27.3,,27.6,,29.2,,13
Share of renewable energy in electricity,Percentage,France,13.8,,13.8,,14.1,,14.3,,14.4,,15.1,,14.9,,16.5,,14
Share of renewable energy in electricity,Percentage,Croatia,41.7,,38.8,,36.6,,32.5,,31.3,,33.4,,35.6,,35.5,,15
Share of renewable energy in electricity,Percentage,Hungary,2.2,,4.4,,3.5,,4.2,,5.3,,7.0,,7.1,,6.4,,16
Share of renewable energy in electricity,Percentage,Ireland,6.0,,7.2,,8.7,,10.1,,11.1,,13.7,,14.9,,17.6,,17
Share of renewable energy in electricity,Percentage,Italy,16.1,,16.3,,15.9,,16.0,,16.6,,18.4,,20.1,,23.5,,18
Share of renewable energy in electricity,Percentage,Lithuania,3.5,,3.8,,4.0,,4.6,,4.8,,5.9,,7.4,,9.0,,19
Share of renewable energy in electricity,Percentage,Luxembourg,2.8,,3.2,,3.2,,3.3,,3.6,,4.1,,3.8,,4.1,,20
Share of renewable energy in electricity,Percentage,Latvia,46.0,,43.0,,40.4,,38.6,,38.7,,41.9,,42.0,,44.7,,21
Share of renewable energy in electricity,Percentage,Malta,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,,0.1,,22
Share of renewable energy in electricity,Percentage,Netherlands,4.1,,5.1,,5.2,,5.9,,7.1,,9.0,,9.7,,9.8,,23
Share of renewable energy in electricity,Percentage,Norway,97.6,,97.0,,100.5,,98.7,,99.8,,104.8,,97.9,,104.8,,24
Share of renewable energy in electricity,Percentage,Poland,2.3,,2.8,,3.1,,3.5,,4.4,,5.9,,6.7,,8.2,,25
Share of renewable energy in electricity,Percentage,Portugal,28.2,,28.9,,30.0,,32.7,,34.6,,38.2,,41.2,,46.5,,26
Share of renewable energy in electricity,Percentage,Romania,28.4,,28.8,,28.1,,28.1,,28.1,,30.9,,30.4,,31.1,,27
Share of renewable energy in electricity,Percentage,Sweden,51.2,,50.8,,51.6,,53.0,,53.5,,58.1,,56.0,,59.6,,28
Share of renewable energy in electricity,Percentage,Slovenia,29.2,,28.4,,28.2,,27.7,,30.0,,33.8,,32.1,,30.8,,29
Share of renewable energy in electricity,Percentage,Slovakia,16.0,,16.1,,17.1,,17.4,,18.0,,18.5,,18.4,,19.8,,30
Share of renewable energy in electricity,Percentage,United Kingdom,3.5,,4.1,,4.5,,4.8,,5.4,,6.6,,7.4,,8.7,,31
