unit,product,indic_nrg,geo,_2000,_2000_flag,_2001,_2001_flag,_2002,_2002_flag,_2003,_2003_flag,_2004,_2004_flag,_2005,_2005_flag,_2006,_2006_flag,_2007,_2007_flag,_2008,_2008_flag,_2009,_2009_flag,_2010,_2010_flag,_2011,_2011_flag,serialid
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Austria,3597,,3479,,3459,,2856,,3161,,3154,,3082,,3190,,3298,,3515,,3300,,2939,,1
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Belgium,40,,38,,31,,21,,27,,25,,31,,33,,35,,28,,27,,17,,2
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Bulgaria,230,,149,,189,,260,,272,,373,,364,,247,,243,,298,,435,,251,,3
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Switzerland,3167,,3552,,3028,,2994,,2902,,2685,,2662,,3031,,3099,,3072,,3101,,,,4
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Cyprus,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Czech Republic,151,,177,,214,,119,,174,,205,,219,,180,,174,,209,,240,,169,,6
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Germany (until 1990 former territory of the FRG),1869,,1955,,1988,,1656,,1812,,1684,,1714,,1797,,1801,,1604,,1756,,1485,,7
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Denmark,3,,2,,3,,2,,2,,2,,2,,2,,2,,2,,2,,1,,8
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)",19838,,22023,,17846,,18905,,19079,,16088,,17588,,17839,,18980,,19703,,22526,,17976,,9
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Euro area (16 countries),20882,,22773,,18584,,19459,,19784,,16784,,18275,,18221,,19328,,19703,,22526,,17974,,10
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Euro area (17 countries),20883,,22774,,18584,,19460,,19786,,16786,,18276,,18223,,19330,,19706,,22528,,17976,,11
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Estonia,0,,1,,1,,1,,2,,2,,1,,2,,2,,3,,2,,3,,12
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Greece,318,,180,,241,,410,,402,,431,,504,,223,,285,,462,,641,,345,,13
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Spain,2430,,3516,,1825,,3481,,2673,,1582,,2232,,2348,,2009,,2271,,3637,,2631,,14
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,European Union (27 countries),30199,,32020,,26942,,26243,,27740,,26317,,26600,,26642,,28115,,28221,,31553,,26374,,15
Thousand tonnes of oil equivalent (TOE),Hydro power,Primary production,Finland,1261,,1135,,927,,825,,1296,,1185,,988,,1219,,1471,,1091,,1111,,1070,,16
