year,statecode,description,unit,data,msn,serialid
1960,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253885
1961,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253886
1962,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253887
1963,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253889
1964,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253890
1965,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253891
1966,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253892
1967,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253893
1968,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253894
1969,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253895
1970,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253896
1971,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253897
1972,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253898
1973,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253899
1974,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253900
1975,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253901
1976,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253902
1977,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253903
1978,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253904
1979,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253905
1980,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253906
1981,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253907
1982,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253908
1983,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253909
1984,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253910
1985,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253911
1986,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253912
1987,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253913
1988,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253914
1989,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253915
1990,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253916
1991,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253917
1992,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253918
1993,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253919
1994,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253920
1995,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253921
1996,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253922
1997,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253923
1998,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253924
1999,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253925
2000,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253926
2001,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253927
2002,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253928
2003,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253929
2004,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253930
2005,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253931
2006,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253932
2007,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253933
2008,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253934
2009,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253935
2010,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253936
2011,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253937
2012,AK,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253938
1960,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253939
1961,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253940
1962,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253941
1963,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253942
1964,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253943
1965,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253944
1966,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253945
1967,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253946
1968,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253947
1969,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253948
1970,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253949
1971,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253950
1972,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253951
1973,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253952
1974,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253953
1975,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253954
1976,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253955
1977,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253956
1978,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253957
1979,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253958
1980,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253959
1981,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253960
1982,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253961
1983,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253962
1984,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253963
1985,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253964
1986,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253965
1987,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253966
1988,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253967
1989,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253968
1990,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253969
1991,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253970
1992,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253971
1993,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253972
1994,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253973
1995,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253974
1996,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253975
1997,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253976
1998,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253977
1999,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253978
2000,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253979
2001,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253980
2002,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253981
2003,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253982
2004,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253983
2005,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253984
2006,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253985
2007,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253986
2008,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253987
2009,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253988
2010,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253989
2011,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253990
2012,AL,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253991
1960,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253992
1961,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253993
1962,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253994
1963,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253995
1964,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253996
1965,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253997
1966,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253998
1967,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1253999
1968,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254000
1969,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254001
1970,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254002
1971,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254003
1972,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254004
1973,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254005
1974,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254006
1975,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254007
1976,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254008
1977,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254009
1978,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254010
1979,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254011
1980,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254012
1981,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254013
1982,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254014
1983,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254015
1984,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254016
1985,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254017
1986,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254018
1987,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254019
1988,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254020
1989,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254021
1990,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254022
1991,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254023
1992,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254024
1993,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254025
1994,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254026
1995,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254027
1996,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254028
1997,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254029
1998,AR,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,0,SOEGB,1254030
