global_vendor_name,total_actions,total_dollars,percent_of_total_actions,percent_of_total_dollars,serialid
LOCKHEED MARTIN CORPORATION,53,2780028445.51,0.4410,13.1044,1
LOS ALAMOS NATIONAL SECURITY LLC,17,2038024542.72,0.1414,9.6068,2
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,57,2024978566.39,0.4742,9.5453,3
BATTELLE MEMORIAL INSTITUTE,66,1624717680.29,0.5491,7.6585,4
BECHTEL GROUP INC,102,1360696431.18,0.8487,6.4140,5
BWXT PANTEX L.L.C.,40,1296550310.75,0.3328,6.1116,6
UT-BATTELLE LLC,21,1217080737.00,0.1747,5.7370,7
CH2M HILL COMPANIES LTD,39,783320016.60,0.3245,3.6924,8
FLUOR CORPORATION,26,690918827.75,0.2163,3.2568,9
UCHICAGO ARGONNE LLC,16,672295603.04,0.1331,3.1690,10
HONEYWELL INTERNATIONAL INC,16,569316206.98,0.1331,2.6836,11
WASHINGTON GROUP INTERNATIONAL INC,71,531696322.47,0.5907,2.5063,12
BROOKHAVEN SCIENCE ASSOCIATES,16,489596202.32,0.1331,2.3078,13
BECHTEL NEVADA CORPORATION,18,450179135.28,0.1498,2.1220,14
MIDWEST RESEARCH INSTITUTE INC.,36,386169990.44,0.2995,1.8203,15
LELAND STANFORD JUNIOR UNIVERSITY,18,368937802.98,0.1498,1.7391,16
FERMI RESEARCH ALLIANCE LLC,16,338278204.67,0.1331,1.5946,17
THE SHAW GROUP INC,14,262842959.87,0.1165,1.2390,18
MCDERMOTT INTERNATIONAL INC.,73,211725973.00,0.6074,0.9980,19
G4S PLC,98,197222234.76,0.8154,0.9297,20
ENERGY ENTERPRISE SOLUTIONS LLC,168,153267147.48,1.3978,0.7225,21
RAYTHEON COMPANY,15,144832217.00,0.1248,0.6827,22
COMPUTER SCIENCES CORPORATION,47,134832595.23,0.3910,0.6356,23
OAK RIDGE ASSOCIATED UNIVERSITIES INC.,17,132837033.00,0.1414,0.6262,24
AHTNA INCORPORATED,10,115015037.65,0.0832,0.5422,25
THE PARSONS CORPORATION,24,111016098.73,0.1997,0.5233,26
JEFFERSON SCIENCE ASSOCIATES LLC A SURA/CSC COMPANY,22,102400164.00,0.1830,0.4827,27
WACKENHUT SERVICES INC,11,99956020.14,0.0915,0.4712,28
URANIUM DISPOSITION SERVICES LLC,6,98707130.60,0.0499,0.4653,29
USEC INC.,36,86832527.09,0.2995,0.4093,30
PADUCAH REMEDIATION SERVICES LLC,18,82596137.54,0.1498,0.3893,31
RESEARCH AND DEVELOPMENT SOLUTIONS LLC,28,75131414.00,0.2330,0.3542,32
THE TRUSTEES OF PRINCETON UNIVERSITY,17,73977067.67,0.1414,0.3487,33
NFS SERVICE LLC,27,70847588.00,0.2246,0.3340,34
THE S M STOLLER CORPORATION,19,62160912.02,0.1581,0.2930,35
LATA/PARALLAX PORTSMOUTH LLC,14,62028452.00,0.1165,0.2924,36
TECHNOLOGY & MANAGEMENT SERVICES INC,127,38409362.50,1.0567,0.1811,37
SAIC INC,188,38071224.43,1.5642,0.1795,38
ACCELERATED REMEDIATION COMPANY A PORTAGE SHAW JOINT VENTURE LLC,5,38017529.04,0.0416,0.1792,39
RESEARCH PARTNERSHIP TO SECURE ENERGY FOR AMERICA,4,35625000.00,0.0333,0.1679,40
ELECTRIC ENERGY INC,3,34067731.00,0.0250,0.1606,41
ISOTEK SYSTEMS LLC,17,33684200.00,0.1414,0.1588,42
IOWA STATE UNIVERSITY,22,26736828.47,0.1830,0.1260,43
COVENANT HOMELAND SECURITY SOLUTIONS LTD,9,25991797.54,0.0749,0.1225,44
GENERAL NUCLEAR CORP,2,24955127.00,0.0166,0.1176,45
GENERAL ATOMIC TECHNOLOGIES CORPORATION,24,23895773.06,0.1997,0.1126,46
QWEST COMMUNICATIONS INTERNATIONAL INC,13,22414684.84,0.1082,0.1057,47
SCI CONSULTING INC,10,21838679.00,0.0832,0.1029,48
ENERGYSOLUTIONS LLC,35,21634383.75,0.2912,0.1020,49
"ASRC CONSTRUCTORS, INC.",17,20430000.00,0.1414,0.0963,50
NAVARRO RESEARCH AND ENGINEERING INC,86,20014170.86,0.7155,0.0943,51
WEST VALLEY ENVIRONMENTAL SERV,4,18853593.34,0.0333,0.0889,52
TPMC THETA/PRO2SERVE MANAGEMENT COMPANY LLC,9,16818154.72,0.0749,0.0793,53
EAGLE RESEARCH GROUP INC.,15,16674000.00,0.1248,0.0786,54
CHUGACH ALASKA CORP,41,15615447.98,0.3411,0.0736,55
OHIO VALLEY ELECTRIC CORPORATION,21,15551069.71,0.1747,0.0733,56
THE BOEING COMPANY,13,15393842.54,0.1082,0.0726,57
INTERNATIONAL BUSINESS MACHINES CORPORATION,25,15122570.93,0.2080,0.0713,58
UNITED TECHNOLOGIES CORPORATION,9,14803473.61,0.0749,0.0698,59
ECHOTA TECHNOLOGIES CORPORATION,6,14081267.40,0.0499,0.0664,60
LAWRENCE LIVERMORE NATIONAL SECURITY LLC,3,13836279.00,0.0250,0.0652,61
BENNETT-ALVARADO INC.,75,13487309.20,0.6240,0.0636,62
LEGIN GROUP INC,50,13295349.42,0.4160,0.0627,63
SWIFT & STALEY MECHANICAL CONTRACTORS INC,13,12968337.00,0.1082,0.0611,64
ARCTIC SLOPE REGIONAL CORPORATION,79,12810327.19,0.6573,0.0604,65
BOOZ ALLEN HAMILTON INC.,27,12640168.07,0.2246,0.0596,66
ADVANCED TECHNOLOGIES AND LABORATORIES (ATL) INTERNATIONAL INC,24,12450025.08,0.1997,0.0587,67
NORTHROP GRUMMAN CORPORATION,33,12091457.95,0.2746,0.0570,68
KPMG L.L.P.,18,11652661.00,0.1498,0.0549,69
COAL CREEK CONSTRUCTION,36,11630928.40,0.2995,0.0548,70
POTOMAC-HUDSON ENGINEERING INC,15,11561065.45,0.1248,0.0545,71
E-MANAGEMENT CONSULTANTS INC,8,10670488.00,0.0666,0.0503,72
CHICKASAW NATION,31,10542267.62,0.2579,0.0497,73
PROJECT ENHANCEMENT CORP,37,10386837.51,0.3078,0.0490,74
TETRA TECH INC.,11,10300510.17,0.0915,0.0486,75
UNIVERSITIES RESEARCH ASSOCIATION INC,8,10001163.62,0.0666,0.0471,76
