unique_transaction_id,account_title,recipient_name,recipient_city_name,recipient_county_name,recipient_zip,recipient_type,action_type,agency_code,fed_funding_amount,non_fed_funding_amount,total_funding_amount,obligation_action_date,starting_date,ending_date,principal_place_state,principal_place_cc,principal_place_zip,agency_name,project_description,receip_addr1,receip_addr2,face_loan_guran,orig_sub_guran,recip_cat_type,maj_agency_cat,recipient_country_code,serialid
b78e9fad0880ebfe3fb9e80f43b6650b,Science,PURDUE UNIVERSITY,WEST LAFAYETTE,Tippecanoe,479072108,20: Private higher education,"C: Revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction amount of the change in funding; or any change in Recipient Name, Recipient Address, Project Period or Project Scope)","8900: ENERGY, DEPARTMENT OF",97480.0,0.0,97480.0,2010-08-23,2005-08-18,2012-05-31,INDIANA,WEST LAFAYETTE,479072108,"ENERGY, DEPARTMENT OF",BIOMINERALIZATION INSPIRED ELECTROCHEMICAL FABRICATION OF HIGH PERFORMANCE PHOTOELECTRODES FOR SOLAR HYDROGEN PRODUCTION,401 SOUTH GRANT ST,,0.0,0.0,h: Higher Education,"8900: ENERGY, DEPARTMENT OF",,453
b934474bafbda5e4c033dc0fee0291d6,"Fossil Energy Research and Development, Recovery Act",RENEWABLE ENERGY INSTITUTE INTERNATIONAL,MCCLELLAN,SACRAMENTO,956522501,12: Other nonprofit,"C: Revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction amount of the change in funding; or any change in Recipient Name, Recipient Address, Project Period or Project Scope)","8900: ENERGY, DEPARTMENT OF",1135920.0,341515.0,1477435.0,2010-01-15,2010-01-15,2010-12-31,CALIFORNIA,SACRAMENTO,958110100,"ENERGY, DEPARTMENT OF","TAS::89 0211::TAS RECOVERY FOSSIL ENERGY - NEW INDUSTRIAL CARBON CAPTURE AND SEQUESTRATION (CCS) AWARD ENTITLED ""RECOVERY ACT: SOLAR REFORMING OF CAR",3028 Peacekeeper Way B-226,,0.0,0.0,n: Non-Profit Organization,"8900: ENERGY, DEPARTMENT OF",,5767
7c6650f0308609aa3f8fe2f0e0835f4b,"Energy Transformation Acceleration Fund, Recovery Act",1366 TECHNOLOGIES INC.,LEXINGTON,Middlesex,024213102,23: Small business,A: New assistance action,"8900: ENERGY, DEPARTMENT OF",4000000.0,1024788.0,5024788.0,2009-12-10,2009-12-10,2011-11-30,MASSACHUSETTS,LEXINGTON,024200001,"ENERGY, DEPARTMENT OF","TAS::89 0336::TAS RECOVERY    RENEWABLE POWER (SOLAR) ""DIRECT WAFER"" TECHNOLOGY TO FORM HIGH EFFICIENCY ""MONOCRYSTALLINE-EQUIVALENT"" SILICON WAFERS D",45 HARTWELL AVE,,0.0,0.0,f: For-Profit Organization,"8900: ENERGY, DEPARTMENT OF",,5904
afa16080022d992ab8375bfe219daeaf,Renewable Energy Program Account,"MESMER SOLAR, LLC",,Sauk,539139479,25: All other,"C: Revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction amount of the change in funding; or any change in Recipient Name, Recipient Address, Project Period or Project Scope)",12E4: RURAL BUSINESS COOPERATIVE SERVICE,-5575.0,0.0,0.0,2010-01-29,2009-09-30,2011-09-30,WISCONSIN,BARABOO,539139479,RURAL BUSINESS COOPERATIVE SERVICE,Sec. 9007 REAP-Renew Energy Sys Grants (man),S3894A MOUNTAIN RD.,S3894A MOUNTAIN RD.,0.0,0.0,o: Other,"1200: AGRICULTURE, DEPARTMENT OF",USA,10564
69c7bf96adc58d45c9141ff3684fc346,Energy Efficiency and Renewable Energy,UNIVERSITY OF ARKANSAS SYSTEM,FAYETTEVILLE,Washington,727011201,06: State controlled institution of higher education,B: Continuation (funding in succeeding budget period which stemmed from prior agreement to fund amount of the current action),"8900: ENERGY, DEPARTMENT OF",194442.0,0.0,194442.0,2010-03-30,2008-09-22,2012-12-31,ARKANSAS,FAYETTEVILLE,727011201,"ENERGY, DEPARTMENT OF",DEVELOPMENT AND PERFORMANCE EVALUATION OF HIGH TEMPERATURE CONCRETE FOR THERMAL ENERGY STORAGE FOR SOLAR POWER GENERATION,120 N OZARK AVE,,0.0,0.0,h: Higher Education,"8900: ENERGY, DEPARTMENT OF",,11777
fa4f462d99e010729ff859d701315896,Energy Efficiency and Renewable Energy,PPG INDUSTRIES  INC.,CHESWICK,ALLEGHENY,150249464,22: Profit organization,"C: Revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction amount of the change in funding; or any change in Recipient Name, Recipient Address, Project Period or Project Scope)","8900: ENERGY, DEPARTMENT OF",0.0,297344.0,297344.0,2010-05-14,2009-09-26,2011-03-31,PENNSYLVANIA,CHESWICK,150249464,"ENERGY, DEPARTMENT OF","NEW AWARD ENTITLED ""SOLAR ENERGY WINDOWS AND SMART IR SWITCHABLE BUILDING TECHNOLOGIES""",400 Guys Run Rd,,0.0,0.0,f: For-Profit Organization,"8900: ENERGY, DEPARTMENT OF",,15148
7b831eed9384b1856999bb69bb3ccdc7,Renewable Energy Program Account,ASHLAND SOLAR 01  LLC,ASHLAND,Ashland,448059287,25: All other,A: New assistance action,12E4: RURAL BUSINESS COOPERATIVE SERVICE,115329.0,0.0,0.0,2010-09-30,2010-09-30,2012-09-30,OHIO,ASHLAND,448059287,RURAL BUSINESS COOPERATIVE SERVICE,Sec. 9007 REAP-Renew Energy Sys Grants (man),1783 STATE ROUTE 60,1783 STATE ROUTE 60,0.0,0.0,o: Other,"1200: AGRICULTURE, DEPARTMENT OF",USA,18340
e6b476fc517130a3db7016007b0bbc8d,Energy Efficiency and Renewable Energy,FOREST PRESERVE DISTRICT OF DU PAGE COUNTY,WHEATON,DuPage,601895000,02: City or township government,A: New assistance action,"8900: ENERGY, DEPARTMENT OF",300000.0,300000.0,600000.0,2010-07-30,2010-07-30,2012-11-30,ILLINOIS,WHEATON,601870001,"ENERGY, DEPARTMENT OF","TAS::89 0321::TAS EE NEW GRANT AWARD ENTITLED ""FOREST PRESERVE DISTRICT OF DUPAGE COUNTY DANADA SOLAR ENERGY & LIGHTING PROJECT""",3 S 580 NAPERVILLE RD,,0.0,0.0,g: Government,"8900: ENERGY, DEPARTMENT OF",,18627
9d654d3aed3fe8472eb8e2bbf409c716,Energy Efficiency and Renewable Energy,"EAST ROCKAWAY, VILLAGE OF",EAST ROCKAWAY,Nassau,115180189,02: City or township government,A: New assistance action,"8900: ENERGY, DEPARTMENT OF",500000.0,502411.0,1002411.0,2010-09-23,2010-09-23,2012-10-31,NEW YORK,EAST ROCKAWAY,115180001,"ENERGY, DEPARTMENT OF",TAS::89 0321::TAS CONGRESSIONALLY DIRECT PROJECT-NEW AWARD FOR EFFORT ENTITLED COMPRESSED NATURAL GAS REFUELING STATION WITH SOLAR POWER COMPONENT TO,376 ATLANTIC AVE,,0.0,0.0,g: Government,"8900: ENERGY, DEPARTMENT OF",,19789
a322048ce9fb30ceb5e100de9548e2e1,Energy Supply and Conservation,MAUI ELECTRIC COMPANY LTD,KAHULUI,MAUI,967322253,22: Profit organization,D: Funding adjustment to completed project,"8900: ENERGY, DEPARTMENT OF",-9476.0,0.0,-9476.0,2010-06-02,2004-09-13,2008-07-31,HAWAII,KAHULUI,967320000,"ENERGY, DEPARTMENT OF",PUBLIC EDUCATION AND PROMOTION OF THE BENEFITS OF SOLAR ENERGY; CONSTRUCTION OF PORTABLE  EDUCATIONAL MODEL HOME ON ENERGY EFFICIENCY; DEVELOP OPTION,210 W Kamehameha Ave,,0.0,0.0,f: For-Profit Organization,"8900: ENERGY, DEPARTMENT OF",,28791
