well_permit_number,period_id,production_indicator,well_status,farm_name,well_number,gas_quantity,gas_production_days,condensate_quanitity,condensate_production_days,oil_quantity,oil_production_days,averaged,operator_name,ogo_number,well_county,well_municipality,well_latitude,well_longitude,unconventional,well_configuration_code,home_use,reporting_period,comment_reason,comment_text,serialid
003-21786,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 2,2,5835,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,FRAZER,40.565072,-79.793761,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,410
003-21787,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 6,6,2181,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.558519,-79.782444,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,411
003-21789,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 1,1,3637,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,FRAZER,40.565347,-79.786666,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,412
003-21790,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 3,3,6501,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.562244,-79.792233,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,413
003-21791,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 4,4,4781,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.562035,-79.783791,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,414
003-21792,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 7,7,5504,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.562658,-79.775888,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,415
003-21793,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 8,8,3799,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.576149,-79.774721,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,416
003-21794,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 9,9,5115,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.556172,-79.774452,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,417
003-21797,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 10,10,6643,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.554172,-79.778852,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,418
003-21850,2012-0,Y,ACTIVE,ALLEGHENY ENERGY 14,14,9608,366,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.554033,-79.77158,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,437
003-20953,2012-0,Y,ACTIVE,VALLEY HEIGHTS 3,3,1305,366,,,,,N,ENERGY CORP OF AMER,OGO-33798,ALLEGHENY,PLUM,40.522059,-79.803924,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,541
003-20954,2012-0,Y,ACTIVE,VALLEY HEIGHTS 2,2,1302,366,,,,,N,ENERGY CORP OF AMER,OGO-33798,ALLEGHENY,PLUM,40.524804,-79.801497,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,542
003-21201,2012-0,Y,ACTIVE,BLISSMAN 2,2,4417,365,,,,,N,GREAT OAK ENERGY INC,OGO-33810,ALLEGHENY,NORTH VERSAILLES,40.373646,-79.773875,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,543
003-21315,2012-0,Y,ACTIVE,SCHEETZ 1,1,272,365,,,,,N,GREAT OAK ENERGY INC,OGO-33810,ALLEGHENY,LINCOLN,40.304805,-79.857922,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,544
003-21316,2012-0,Y,ACTIVE,BLOTZER 1,1,7604,365,,,,,N,GREAT OAK ENERGY INC,OGO-33810,ALLEGHENY,LINCOLN,40.292659,-79.851376,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,545
003-21318,2012-0,Y,ACTIVE,RANKIN 1,1,287,365,,,,,N,GREAT OAK ENERGY INC,OGO-33810,ALLEGHENY,ELIZABETH,40.287841,-79.824403,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,546
003-21991,2012-0,N,ACTIVE,FEKULA 1,1,,,,,,,N,FORTRESS ENERGY CORP,OGO-34106,ALLEGHENY,FORWARD,40.259633,-79.888874,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Transferred this well,,550
003-22140,2012-0,N,ACTIVE,TORBICH 1,1,,,,,,,N,FORTRESS ENERGY CORP,OGO-34106,ALLEGHENY,FORWARD,40.263639,-79.891572,N,VERTI,N,Jan - Dec 2012 (Conventional wells),"Never Spud Well, Permit Expired or Cancelled",,551
003-00798,2012-0,Y,ACTIVE,J WALLACE 3,3,,,,,6.67,42,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.390062,-80.218696,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,"Brine water 1165 barrels, disposal thru ALCOSAN permit number P20116",554
003-00799,2012-0,Y,ACTIVE,J WALLACE 4,4,,,,,6.67,42,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.389101,-80.218696,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,"Brine water 1165 barrels, disposal thru ALCOSAN permit number P20116",555
003-00801,2012-0,Y,ACTIVE,J WALLACE 9,9,,,,,6.67,42,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.387538,-80.220589,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,"Brine water 1165 barrels, disposal thru ALCOSAN permit number P20116",556
003-00802,2012-0,N,ACTIVE,MORGAN HEIRS 3,3,,,,,,,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.385258,-80.223003,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine Disposal 395 barrels thru ALCOSAN Permit P20116,557
003-00803,2012-0,N,ACTIVE,MORGAN HEIRS 4,4,,,,,,,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.385666,-80.224267,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine Disposal 395 barrels thru ALCOSAN Permit P20116,558
003-00805,2012-0,Y,ACTIVE,MORGAN HEIRS 10,10,,,,,283,208,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.392138,-80.22694,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,"Brine disposal 90 barrels, thru ALCOSAN Permit P20116",559
003-00806,2012-0,Y,ACTIVE,MORGAN HEIRS 12,12,,,,,375,208,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.390555,-80.225273,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,"Brine disposal 143 barrels, thru ALCOSAN Permit P20116",560
003-00817,2012-0,N,ACTIVE,JOHN MCD GLENN 1,1,,,,,,,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.384023,-80.219592,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine Disposal 395 barrels thru ALCOSAN Permit P20116,561
003-00818,2012-0,Y,ACTIVE,WALLACE HEIRS 7,7,,,,,71.33,313,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.362395,-80.218153,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 2369 barrels thru ALCOSAN Permit P20116,562
003-00819,2012-0,Y,ACTIVE,WALLACE HEIRS 9,9,,,,,71.33,313,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.364316,-80.21923,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 2369 barrels thru ALCOSAN Permit P20116,563
003-00822,2012-0,Y,ACTIVE,WALLACE HEIRS 13,13,,,,,354,365,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.363494,-80.213134,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 7187 barrels thru ALCOSAN Permit P20116,564
003-00825,2012-0,Y,ACTIVE,WALLACE HEIRS 16,16,,,,,71.33,313,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.364183,-80.216717,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 2369 barrels thru ALCOSAN Permit P20116,565
003-00826,2012-0,N,ACTIVE,W A DICKSON 10,10,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.358825,-80.207161,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 365 thru ALCOSAN Permit P20116,566
003-00827,2012-0,Y,ACTIVE,R D POTTER 8,8,,,,,18,104,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.354427,-80.204386,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 1105 thru ALCOSAN Permit P20116,567
003-00838,2012-0,Y,ACTIVE,C J OBRIEN 1,1,,,,,98,104,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.371449,-80.196943,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 265 thru ALCOSAN Permit P20116,568
003-00839,2012-0,Y,ACTIVE,B MORGAN 7,7,,,,,185,52,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,SOUTH FAYETTE,40.357313,-80.16101,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 9 barrels thru ALCOSAN Permit P20116,569
003-00850,2012-0,N,ACTIVE,MCCLELLAND HEIRS 1,1,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.404747,-80.17308,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,Needs service rig work,570
003-00853,2012-0,Y,ACTIVE,W V MCGILL 5,5,,,,,149,52,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.409557,-80.16966,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,Brine disposal 57 barrels thru ALCOSAN Permit P20116,571
003-00855,2012-0,N,ACTIVE,L KELSO 1,1,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,COLLIER,40.426098,-80.152965,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,572
003-00857,2012-0,Y,ACTIVE,J R MCMICHAEL 2,2,,,,,183,365,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.431179,-80.179728,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,573
003-00859,2012-0,Y,ACTIVE,J WALKER 4,4,,,,,52,52,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.409288,-80.230206,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,574
003-00862,2012-0,Y,ACTIVE,G & W MCMURRAY 6,6,,,,,6,104,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.393764,-80.196235,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,575
003-00868,2012-0,Y,ACTIVE,ELLIOTT BROS (FI) 10,10,,,,,203,104,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.395135,-80.242392,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,576
003-00893,2012-0,Y,ACTIVE,B.N. WHITMORE 2,2,,,,,145,104,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.424036,-80.205228,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,577
003-00894,2012-0,Y,ACTIVE,B.N. WHITMORE 1,1,,,,,145,104,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.420467,-80.207201,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,578
003-00895,2012-0,Y,ACTIVE,A. BELL 2,2,,,,,147,104,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,,,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,579
003-00896,2012-0,Y,ACTIVE,J. WHITMORE 7,7,,,,,405,156,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.41531,-80.203427,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,580
003-00897,2012-0,Y,ACTIVE,J.J. MATTHEWS 1,1,,,,,149,104,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.401865,-80.210619,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,581
003-00898,2012-0,N,ACTIVE,J.J. MATTHEWS 7,7,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.4101,-80.208285,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Gas storage well,Pulls vac for well,582
003-00899,2012-0,Y,ACTIVE,J.J. MATTHEWS 9,9,,,,,149,104,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.406669,-80.210619,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,583
003-00900,2012-0,N,ACTIVE,J.J. MATTHEWS 3,3,,,,,,,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.404885,-80.211696,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Gas storage well,,584
003-00901,2012-0,N,ACTIVE,J.J. MATTHEWS 8,8,,,,,,,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.408453,-80.21044,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Gas storage well,,585
003-00902,2012-0,Y,ACTIVE,J.B. HERRON 2,2,,,,,193,156,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.400371,-80.210389,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,586
003-00903,2012-0,Y,ACTIVE,J.B. HERRON 4,4,,,,,1217,365,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.399071,-80.212873,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,587
003-00904,2012-0,Y,ACTIVE,J.B. HERRON 8,8,,,,,1217,365,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.396288,-80.208222,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,588
003-00905,2012-0,Y,ACTIVE,J.B. HERRON 6,6,,,,,31,156,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.402689,-80.215646,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,589
003-00906,2012-0,N,ACTIVE,J.B.HERRON 9,9,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.402871,-80.215406,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,Needs service rig work,590
003-00907,2012-0,Y,ACTIVE,A. BELL 7,7,,,,,335,104,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.413114,-80.203067,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,591
003-00908,2012-0,N,ACTIVE,MATTHEW HEIRS 2,2,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.404455,-80.217556,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,Needs service rig work,592
003-00909,2012-0,N,ACTIVE,MATTHEW HEIRS 3,3,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.40763,-80.210978,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,needs service rig work,593
003-00910,2012-0,Y,ACTIVE,MATTHEW HEIRS 5,5,,,,,719.33,104,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.409277,-80.212774,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,594
003-00911,2012-0,Y,ACTIVE,MATTHEW HEIRS 7,7,,,,,719.33,104,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.41106,-80.215826,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,595
003-00912,2012-0,Y,ACTIVE,MATTHEW HEIRS 8,8,,,,,719.33,104,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.407355,-80.213492,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,596
003-00913,2012-0,Y,ACTIVE,MATTHEW HEIRS 9,9,,,,,298,52,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.407492,-80.215826,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,597
003-00914,2012-0,N,ACTIVE,MATTHEW HEIRS 10,10,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.406532,-80.213312,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,598
003-00915,2012-0,Y,ACTIVE,J. GORMLEY 2,2,,,,,153,156,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.410927,-80.211156,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,599
003-00946,2012-0,N,ACTIVE,J. GROMLEY 14,14,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.410512,-80.210979,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,Needs service rig work,600
003-20028,2012-0,N,ACTIVE,B N WHITMORE 11,11,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.412845,-80.209542,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Gas storage well,,601
003-20032,2012-0,N,ACTIVE,JOSEPH J MATHEWS 10,10,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.376335,-80.231076,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,Needs service rig work,602
