"Consumption by fuel, Million tonnes oil equivalent.",Oil-2,Natural Gas-2,Coal-2,Nuclear Energy-2,Hydro electric-2,Total 2007,Oil,Natural Gas,Coal,Nuclear Energy,Hydro electric,Total 2008
US,942.3,595.4,573.2,192.1,56.6,2359.6,884.5,600.7,565.0,192.0,56.7,2299
Canada,102.8,87.0,32.3,21.0,82.9,326.1,102,90.0,33.0,21.1,83.6,329.8
Mexico,89.4,56.8,9.1,2.4,6.1,163.7,90,60.5,9.0,2.3,8.6,170.4
Total North America,1134.5,739.3,614.6,215.4,145.6,2849.4,1076.6,751.2,606.9,215.4,148.9,2799.1
Argentina,23.2,39.5,0.4,1.6,8.5,73.2,24.2,40.0,0.4,1.6,8.4,74.7
Brazil,99.8,19.8,13.4,2.8,84.6,220.4,105.3,22.7,14.6,3.1,82.3,228.1
Chile,16.1,4.1,3.3,-,5.2,28.8,16.8,2.3,3.2,-,5.4,27.8
Colombia,10.7,6.7,2.7,-,9.5,29.5,10.7,7.3,2.3,-,9.8,30.2
Ecuador,8.9,0.5,-,-,2.0,11.4,9.3,0.5,-,-,2.6,12.3
Peru,7.1,2.4,0.5,-,4.4,14.4,7.9,3.1,0.5,-,4.5,15.9
Venezuela,30,29.0,0.1,-,18.8,77.8,32.5,29.1,^,-,19.6,81.4
Other S. & Cent. America,64.2,22.1,2.2,-,19.5,108,63.6,23.6,2.2,-,19.9,109.3
Total S. & Cent. America,260,124.1,22.5,4.4,152.6,563.5,270.3,128.7,23.3,4.8,152.5,579.6
Austria,13.4,8.0,3.1,-,7.5,31.9,13.4,8.5,3.1,-,7.9,33
Azerbaijan,4.5,7.2,^,-,0.5,12.2,3.3,8.4,^,-,0.5,12.3
Belarus,7.6,16.9,0.1,-,^,24.6,7.7,17.3,^,-,^,25.1
Belgium & Luxembourg,41,15.2,5.5,10.9,0.1,72.7,41.3,15.3,4.6,10.4,0.1,71.7
Bulgaria,5.3,2.9,7.8,3.3,0.7,20,5.4,2.9,7.5,3.6,0.8,20.1
Czech Republic,9.7,7.6,20.0,5.9,0.6,43.8,9.9,7.8,19.1,6.0,0.5,43.3
Denmark,9.3,4.1,4.7,-,^,18.1,8.9,4.1,4.1,-,^,17.2
Finland,10.6,3.5,4.6,5.6,3.2,27.5,10.5,3.6,3.4,5.4,3.9,26.8
France,91.3,38.3,12.3,99.7,13.3,254.8,92.2,39.8,11.9,99.6,14.3,257.9
Germany,112.5,74.6,85.7,31.8,4.7,309.3,118.3,73.8,80.9,33.7,4.4,311.1
Greece,21.7,3.6,8.5,-,0.8,34.6,21.4,3.8,8.6,-,0.8,34.6
Hungary,7.7,10.8,2.9,3.3,^,24.8,7.7,10.8,2.8,3.4,^,24.7
Iceland,1,-,0.1,-,1.9,3,0.9,-,0.1,-,2.8,3.9
Republic of Ireland,9.4,4.3,1.5,-,0.2,15.4,9,4.5,1.4,-,0.2,15.1
Italy,84,70.0,17.2,-,7.3,178.5,80.9,69.9,17.0,-,8.8,176.6
Kazakhstan,11.6,17.6,30.8,-,1.8,61.8,10.9,18.5,33.6,-,1.7,64.7
