nabs92,unit,geo,_2007,_2007_flag,_2006,_2006_flag,_2005,_2005_flag,_2004,_2004_flag,_2003,_2003_flag,_2002,_2002_flag,_2001,_2001_flag,_2000,_2000_flag,_1999,_1999_flag,_1998,_1998_flag,_1997,_1997_flag,_1996,_1996_flag,_1995,_1995_flag,_1994,_1994_flag,_1993,_1993_flag,_1992,_1992_flag,_1991,_1991_flag,_1990,_1990_flag,_1989,_1989_flag,_1988,_1988_flag,_1987,_1987_flag,_1986,_1986_flag,_1985,_1985_flag,_1984,_1984_flag,_1983,_1983_flag,_1982,_1982_flag,_1981,_1981_flag,_1980,_1980_flag,serialid
Solar thermal and photovoltaic energy,Millions of PPS (Purchasing Power Standard),Spain,,,,,,,,,,,,,,,,,15.305,,9.947,,8.474,,12.364,,10.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5314
Solar thermal and photovoltaic energy,Euro per inhabitant,Czech Republic,,,0.1,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5327
Solar thermal and photovoltaic energy,Euro per inhabitant,Germany (until 1990 former territory of the FRG),,,1.4,,0.9,,1,,,,,,1.3,,1.4,,1.5,,1.4,,1.4,,1.6,,0.2,Break in time series,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5328
Solar thermal and photovoltaic energy,Euro per inhabitant,Spain,,,,,,,,,,,,,,,,,0.3,,0.2,,0.2,,0.3,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5329
Solar thermal and photovoltaic energy,Euro per inhabitant,Italy,,,,,,,,,,,,,,,0.1,,0,,0,,0.1,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330
Solar thermal and photovoltaic energy,Euro per inhabitant,Malta,0,,0,,0,,0,Break in time series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331
Solar thermal and photovoltaic energy,Euro per inhabitant,Romania,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332
Solar thermal and photovoltaic energy,Euro per inhabitant,Slovenia,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5333
Solar thermal and photovoltaic energy,Euro per inhabitant,United Kingdom,,,0.1,,0.1,,0.1,,0.1,,,,0.1,,0.1,,0.1,,0,,0.1,,0.1,,0,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5334
Solar thermal and photovoltaic energy,Millions of euro (from 1.1.1999)/Millions of ECU (up to 31.12.1998),Czech Republic,,,0.516,,0.663,,0.733,,0.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5335
