utility_id,utility_name,ult_street_address,ult_city,utl_state,utl_zip5,plant_code,plant_name,street_address,city,county,state,zip5,name_of_water_source,nerc,primary_purpose,ownertransdist,ownertransid,ownerstate,regulatory_status,sector_name,gridvoltage,sector,ferc_cogen,ferc_cogen_docket,ferc_small_power,ferc_small_power_docket,ferc_exempt_wholesale,ferc_exempt_wholesale_docket,iso_rto,iso_rto_code,latitude,longitude,serialid
25,GMM Holdings 1 LLC,590 Plant Rd,Dresden,NY,14441,2527,GMMGreenidge LLC,590 Plant Road,Dresden,Yates,NY,14441,Seneca Lake,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP Non-CHP,115,2,N,,N,,Y,99-1773-000,Y,NYISO,42.6789,-76.9483,4
40,Hospira Inc,2400 Walden Avenue,Buffalo,NY,14225,55788,Hospira Inc,2400 Walden Avenue,Buffalo,ERIE,NY,14225,,NPCC,326,New York State Elec & Gas Corp,13511,NY,NR,Industrial Non-CHP,12,6,N,,N,,N,,Y,NYISO,42.9167,-78.7333,7
326,Alice Falls Corp,"3 E Comm Square, 3rd Floor",Albany,NY,12207,54391,Alice Falls Hydro Project,Route 9,Keeseville,Clinton,NY,12944,Ausable River,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP Non-CHP,23,2,N,,Y,58-67-000,N,,Y,NYISO,44.519153,-73.464752,124
1362,Bassett Healthcare,1 Atwell Road,Cooperstown,NY,13326,54863,Bassett Medical Center,1 Atwell Road,Cooperstown,OTSEGO,NY,13326,Municipality,NPCC,622,New York State Elec & Gas Corp,13511,NY,NR,Commercial Non-CHP,12.47,4,N,,N,,N,,Y,NYISO,42.6944,-74.9242,352
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,10586,Cameron Ridge LLC,10315 Oak Creek Road,Mojave,Kern,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,66.6,2,N,,Y,85-348-000; 86-1008-000; 86-492-000; 86-495-000,N,,Y,CAISO,35.075,-118.3158,531
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,10597,Ridgetop Energy LLC,10315 Oak Creek Road,Mojave,Kern,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,66.6,2,N,,Y,92-55-000,N,,Y,CAISO,35.0697,-118.3167,532
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,50690,San Gorgonio Westwinds II LLC,19435 Ruppert Street,N Palm Springs,Riverside,CA,92258,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,34,2,N,,Y,85-188-001; 85-8-01; 89-344-001,N,,Y,CAISO,33.934,-116.5781,533
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,52161,Terra-Gen 251 Wind LLC,13000 Jameson Road,Tehachapi,Kern,CA,93561,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,230,2,N,,Y,87-365-000,N,,Y,CAISO,35.0853,-118.3547,534
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,54931,Ridgetop,10315 Oak Creek Road,Mojave,Kern,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,66.6,2,N,,Y,94-50-000,N,,Y,CAISO,35.0697,-118.3167,535
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,54979,Big Spring Wind Power Facility,3300 South Moss Lake Rd,Big Spring,Howard,TX,79720,,TRE,22,Oncor,55998,TX,NR,IPP Non-CHP,66,2,N,,Y,95-141-000,N,,Y,ERCOT,32.2853,-101.4494,536
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,55608,Foote Creek II,HC 64 Box 404,McFadden,Albany,WY,82083,,WECC,22,PacifiCorp,14354,OR,NR,IPP Non-CHP,135,2,N,,N,,Y,99-186-000,N,,41.6689,-106.0114,537
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,55609,Foote Creek III,HC64 Box 404,McFadden,ALBANY,WY,82083,,WECC,22,PacifiCorp,14354,OR,NR,IPP Non-CHP,135,2,N,,N,,Y,99-127-00,N,,41.6689,-106.0114,538
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,56570,Terra-Gen VG Wind LLC,13000 Jameson Road,Tehachapi,Kern,CA,93561,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,66.6,2,N,,Y,99-92-001,N,,Y,CAISO,35.1161,-118.3789,539
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,57282,Alta Wind Energy Center I,15100 Tehachapi Willow Springs,Mojave,KERN,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,220,2,N,,N,,Y,10-43-000,Y,CAISO,35.022222,-118.045278,540
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,57291,Alta Wind Energy Center II,14047 90th Street West,Mojave,KERN,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,220,2,N,,N,,Y,10-44-000,Y,CAISO,35.023889,-118.295278,541
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,57292,Alta Wind Energy Center III,14047 90th Street West,Mojave,KERN,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,220,2,N,,N,,Y,10-45-000,Y,CAISO,35.023889,-118.295278,542
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,57293,Alta Wind Energy Center IV,12941 60th Street West,Mojave,KERN,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,220,2,N,,N,,Y,10-46-000,Y,CAISO,35.008611,-118.242222,543
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,57294,Alta Wind Energy Center V,12941 60th Street West,Mojave,KERN,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,220,2,N,,N,,Y,10-47-000,Y,CAISO,35.008611,-118.242222,544
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,57833,Alta Wind VI,8650 Oak Creek Road,Mojave,Kern,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,230,2,N,,N,,Y,11-59-000,Y,CAISO,35.030855,-118.293188,545
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,57834,Pinyon Pine I,8650 Oak Creek Road,Mojave,Kern,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,230,2,N,,N,,Y,12-51-000,Y,CAISO,35.043411,-118.211835,546
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,57837,Pinyon Pine II,8650 Oak Creek Road,Mojave,Kern,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,230,2,N,,N,,Y,12-52.000,Y,CAISO,35.026759,-118.223333,547
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,58394,Alta Wind X,8650 Oak Creek Road,Mojave,Kern,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,230,2,N,,N,,Y,11-59-000,Y,CAISO,35.06,-118.2,548
2770,Terra-Gen Operating Co LLC,565 5th Ave,New York,NY,10017,58395,Alta Wind XI,8650 Oak Creek Road,Mojave,Kern,CA,93501,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP Non-CHP,230,2,N,,N,,Y,11-59-000,Y,CAISO,35.065,-118.39,549
4226,Consolidated Edison Co-NY Inc,4 Irving Place Room 1340-S,New York,NY,10003,2493,East River,801 East 14th Street,New York,New York,NY,10009,East River,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,69,1,N,,N,,N,,Y,NYISO,40.7281,-73.9742,789
4226,Consolidated Edison Co-NY Inc,4 Irving Place Room 1340-S,New York,NY,10003,2496,Hudson Avenue,1-11 Hudson Avenue,New York,Kings,NY,11201,East River,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,138,1,N,,N,,N,,Y,NYISO,40.7052,-73.9807,790
4226,Consolidated Edison Co-NY Inc,4 Irving Place Room 1340-S,New York,NY,10003,2502,Waterside,700 First Avenue,New York,New York,NY,10017,East River,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,.,1,N,,N,,N,,Y,NYISO,40.753333,-73.975833,791
4226,Consolidated Edison Co-NY Inc,4 Irving Place Room 1340-S,New York,NY,10003,2503,59th Street,850 12th Avenue,New York,New York,NY,10019,Hudson River,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,13.8,1,N,,N,,N,,Y,NYISO,40.771285,-73.99115,792
4226,Consolidated Edison Co-NY Inc,4 Irving Place Room 1340-S,New York,NY,10003,2504,74th Street,506 E 75th Street,New York,New York,NY,10021,East River,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,13.8,1,N,,N,,N,,Y,NYISO,40.768,-73.9515,793
4386,Cornell Hydro,135 Humphrey Service Building,Ithaca,NY,14853,10286,Cornell Hydro,Thurston Ave,Ithaca,Tompkins,NY,14853,Fall Creek,NPCC,611,New York State Elec & Gas Corp,13511,NY,NR,Commercial Non-CHP,2.4,4,N,,N,,N,,Y,NYISO,42.451922,-76.485092,841
5943,Entergy Nuc Fitzpatrick LLC,,White Plains,NY,10601,6110,James A Fitzpatrick,Lake Road,Lycoming,Oswego,NY,13093,Lake Ontario,NPCC,22,New York Power Authority,15296,NY,NR,IPP Non-CHP,345,2,N,,N,,Y,00-2738-001,Y,NYISO,43.52139,-76.408394,1211
9245,Indeck-Energy Serv Silver Spg,1130 Lake Cook Road,Buffalo Grove,IL,60089,50449,Indeck Silver Springs Energy Center,1 Indeck Drive,Silver Springs,Wyoming,NY,14550,Wells,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP CHP,115,3,Y,88-4-000,N,,Y,06-40-000,Y,NYISO,42.6544,-78.0772,1777
10545,Teton Operating Services LLC,29th Floor,New York,NY,10017,54423,Lake Cogen Ltd,39001 Golden Gem Drive,Umatilla,Lake,FL,32784,Well,FRCC,22,Progress Energy Florida Inc,6455,FL,NR,IPP CHP,69,3,Y,92-198-003,N,,N,,N,,28.9158,-81.676,1969
10545,Teton Operating Services LLC,29th Floor,New York,NY,10017,54424,Pasco Cogen Ltd,14850 Old SR 23,Dade City,Pasco,FL,33523,Well,FRCC,22,Tampa Electric Co,18454,FL,NR,IPP CHP,69,3,N,,N,,N,,N,,28.374622,-82.188887,1970
10545,Teton Operating Services LLC,29th Floor,New York,NY,10017,54658,Auburndale Power Partners,1501 West Derby Avenue,Auburndale,Polk,FL,33823,Well,FRCC,22,Tampa Electric Co,18454,FL,NR,IPP CHP,239,3,Y,"93-29-000, 001, 002, 003, 004, 005, 006, 007, 008, 009, 010,",N,,N,,N,,28.0542,-81.8058,1971
11127,Lockport Energy Associates LP,5087 Junction Rd,Lockport,NY,14094,54041,Lockport Energy Associates LP,5087 Junction Road,Lockport,Niagara,NY,14094,Municipality,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP CHP,115,3,N,,N,,N,,Y,NYISO,43.161947,-78.744971,2024
11270,Lower Saranac Hydro Partner LP,"One Tech Drive, Suite 220",Andover,MA,1810,10214,Lower Saranac Hydroelectric Facility,1130 Military Turnpike,Plattsburgh,Clinton,NY,12901,Saranac River,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP Non-CHP,46,2,N,,Y,86-559-000,N,,Y,NYISO,44.6694,-73.5075,2119
11329,Lutheran Medical Center,150 55th Street,Brooklyn,NY,11220,54769,Lutheran Medical Center,150 55th Street,New York City,Kings,NY,11220,,NPCC,622,Consolidated Edison Co-NY Inc,4226,NY,NR,Commercial CHP,0.48,5,Y,93-145-000,N,,N,,Y,NYISO,40.6467,-74.0211,2130
12792,NRG New York LLC,140 Samondale Avenue,West haverstraw,NY,10993,2625,Bowline Point,140 Samsondale Ave.,West Haverstraw,Rockland,NY,10993,Hudson River,NPCC,22,Orange & Rockland Utils Inc,14154,NY,NR,IPP Non-CHP,345,2,N,,N,,Y,99-178-000,Y,NYISO,41.2044,-73.9689,2407
12792,NRG New York LLC,140 Samondale Avenue,West haverstraw,NY,10993,2629,Lovett,37 Elm Street,Tomkins Cove,Rockland,NY,10986,Hudson River,NPCC,22,Orange & Rockland Utils Inc,14154,NY,NR,IPP Non-CHP,138,2,N,,N,,Y,99-180-000,Y,NYISO,41.257778,-73.979722,2408
13484,New York Methodist Hospital,506 Sixth Street,Brooklyn,NY,11215,52091,New York Methodist Hospital,506 6th Street,Brooklyn,Kings,NY,11215,Municipality,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,NR,IPP CHP,480,3,N,,N,,N,,Y,NYISO,40.6681,-73.9822,2505
13487,New York Zoological Society,185th Street & Southern Blvd,Bronx,NY,10460,50427,Bronx Zoo,2300 Southern Blvd,New York,Bronx,NY,10460,N/A,NPCC,712,Consolidated Edison Co-NY Inc,4226,NY,NR,Commercial CHP,4.16,5,N,,N,,N,,Y,NYISO,40.844114,-73.876888,2506
13491,New York University,251 Mercer Street,New York,NY,10012,54808,New York University Central Plant,251 Mercer Street,New York,New York,NY,10012,Municipality,NPCC,611,Consolidated Edison Co-NY Inc,4226,NY,NR,Commercial CHP,13.2,5,Y,93-143-000,N,,N,,Y,NYISO,40.7899,-73.9233,2508
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,625,Upper Mechanicville,288 North Main St,Town of Stillwater,Saratoga,NY,12170,Hudson River,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,34,1,N,,N,,N,,Y,NYISO,42.9126,-73.6805,2511
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,2522,Cadyville,59 Goddeau Rd,Town ofSchuyler Falls,CLINTON,NY,12962,Saranac River,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,11,1,N,,N,,N,,Y,NYISO,44.695,-73.6219,2512
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,2528,Harris Lake,5930 Rt 28 N,Town of Newcomb,Essex,NY,12847,n/a,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,2.4,1,N,,N,,N,,Y,NYISO,43.9719,-74.1861,2513
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,2530,High Falls,202 Soper Rd,Town of Saranac,Clinton,NY,12981,Saranac River,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,6.9,1,N,,N,,N,,Y,NYISO,44.6389,-73.7492,2514
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,2532,Kent Falls,376 Kent Falls Rd,Town of SchuylerFalls,CLINTON,NY,12962,Saranac River,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,6.6,1,N,,N,,N,,Y,NYISO,44.7053,-73.5967,2515
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,2533,Keuka,East Lake Rd,Town of Wayne,Steuben,NY,14893,Waneta -Lamoka Lakes,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,.,1,N,,N,,N,,Y,NYISO,42.494167,-77.119444,2516
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,6486,Mill C,609 Kents Falls Rd,Town of Plattsburgh,CLINTON,NY,12901,Saranac River,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,6.72,1,N,,N,,N,,Y,NYISO,44.6967,-73.6122,2517
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,6526,Rainbow Falls,47 Mace Chasm Rd,Town of Auscble,Clinton,NY,12911,Ausable River,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,2.3,1,N,,N,,N,,Y,NYISO,44.5236,-73.4617,2518
13511,New York State Elec & Gas Corp,"Corp Dr, Kirkwood Ind. Park",Ithaca,NY,14852,8009,Auburn State Street,State Street,Auburn,Cayuga,NY,13021,n/a,NPCC,22,New York State Elec & Gas Corp,13511,NY,RE,Electric Utility,12,1,N,,N,,N,,Y,NYISO,42.9278,-76.5921,2519
13727,Northbrook New York LLC,Suite 210,Scottsdale,AZ,85260,50512,Glen Park Hydroelectric Project,669 Main Street,Watertown,Jefferson,NY,13601,Black River,NPCC,22,Niagara Mohawk Power Corp.,13573,NY,NR,IPP Non-CHP,115,2,N,,Y,86-711-000,Y,99-230-000,Y,NYISO,44.000608,-75.961156,2575
14294,PSEG Power New York Inc,80 Park Plaza T-25,Newark,NJ,7102,2539,Bethlehem Energy Center,Route 144 River Road,Glenmont,Albany,NY,12077,Hudson River,NPCC,22,Niagara Mohawk Power Corp.,13573,NY,NR,IPP Non-CHP,115,2,N,,N,,Y,00-141-000,Y,NYISO,42.594196,-73.763752,2793
15296,New York Power Authority,123 Main St,White Plains,NY,10601,88,Ashokan,Route 28A,Kingston,Ulster,NY,12401,Ashokan Reservoir,NPCC,22,New York Power Authority,15296,NY,RE,Electric Utility,13.8,1,N,,N,,N,,Y,NYISO,41.949,-74.2063,3090
15296,New York Power Authority,123 Main St,White Plains,NY,10601,650,Kensico,NYPA-Kensico Site,Valhalla,Westchester,NY,10595,Kensico Reservoir,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,13.8,1,N,,N,,N,,Y,NYISO,41.0851,-73.7748,3091
15296,New York Power Authority,123 Main St,White Plains,NY,10601,808,Jarvis (Hinckley),None,Hinckley,Oneida,NY,13352,Hinckley Reservoir,NPCC,22,New York Power Authority,15296,NY,RE,Electric Utility,34.5,1,N,,N,,N,,Y,NYISO,43.3121,-75.109,3092
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2483,Neversink,7858 Route 42,Grahmsville,Sullivan,NY,12740,Neversink Reservoir,NPCC,22,Central Hudson Gas & Elec Corp,3249,NY,RE,Electric Utility,69,1,N,,N,,N,,Y,NYISO,41.8194,-74.6358,3093
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2491,Charles Poletti,31-03 20th Ave,Astoria,Queens,NY,11105,East River,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,345,1,N,,N,,N,,Y,NYISO,40.776389,-73.910833,3095
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2627,Grahamsville,1229 State Rte. 55A,Grahamsville,Sullivan,NY,12740,Pepatcon Reservoir,NPCC,22,Central Hudson Gas & Elec Corp,3249,NY,NR,IPP Non-CHP,69,2,N,,N,,Y,99-179-000,Y,NYISO,41.8592,-74.5106,3096
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2685,Crescent,School Street,Crescent,Albany,NY,12047,Mohawk River,NPCC,22,New York Power Authority,15296,NY,RE,Electric Utility,34.5,1,N,,N,,N,,Y,NYISO,42.8056,-73.72264,3097
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2686,Vischer Ferry,496 River Rd,Rexford,Saratoga,NY,12148,Mohawk River,NPCC,22,New York Power Authority,15296,NY,RE,Electric Utility,34.5,1,N,,N,,N,,Y,NYISO,42.80746,-73.84269,3098
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2691,Blenheim Gilboa,397 Power Plant Access Rd,Gilboa,Schoharie,NY,12076,Schoharie Creek,NPCC,22,New York Power Authority,15296,NY,RE,Electric Utility,345,1,N,,N,,N,,Y,NYISO,42.4423,-74.4479,3099
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2692,Lewiston Niagara,5777 Lewiston Road,Lewiston,Niagara,NY,14092,Forebay Of Robert Moses Niagar,NPCC,22,New York Power Authority,15296,NY,RE,Electric Utility,345,1,N,,N,,N,,Y,NYISO,43.1428,-79.0215,3100
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2693,Robert Moses Niagara,5777 Lewiston Rd,Lewiston,Niagara,NY,14092,Niagara River,NPCC,22,New York Power Authority,15296,NY,RE,Electric Utility,345,1,N,,N,,N,,Y,NYISO,43.1427,-79.0394,3101
15296,New York Power Authority,123 Main St,White Plains,NY,10601,2694,Robert Moses Power Dam,830 Barnhart Island,Massena,St Lawrence,NY,13662,St Lawrence River,NPCC,22,New York Power Authority,15296,NY,RE,Electric Utility,230,1,N,,N,,N,,Y,NYISO,45.0038,-74.7994,3102
15296,New York Power Authority,123 Main St,White Plains,NY,10601,7314,Richard M Flynn,607 Union Ave,Holtsville,Suffolk,NY,11742,Wells,NPCC,22,Long Island Power Authority,11171,NY,RE,Electric Utility,138,1,N,,N,,N,,Y,NYISO,40.8158,-73.064,3103
15296,New York Power Authority,123 Main St,White Plains,NY,10601,7909,Vernon Boulevard,42-30 Vernon Blvd,Long Island City,Queens,NY,11427,N/A,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,138,1,N,,N,,N,,Y,NYISO,40.7537,-73.9508,3104
15296,New York Power Authority,123 Main St,White Plains,NY,10601,7910,Joseph J Seymour Power Project,23rd &3rd Ave,Brooklyn,Kings,NY,11232,N/A,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,138,1,N,,N,,N,,Y,NYISO,40.6631,-74,3105
15296,New York Power Authority,123 Main St,White Plains,NY,10601,7912,Brentwood,William Floyd Pkwy,Long Island,Suffolk,NY,11717,N/A,NPCC,22,Long Island Power Authority,11171,NY,RE,Electric Utility,69,1,N,,N,,N,,Y,NYISO,40.7865,-73.2927,3106
15296,New York Power Authority,123 Main St,White Plains,NY,10601,7913,Hell Gate,910 E 134th St. Locust Ave,Bronx,Bronx,NY,10454,N/A,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,138,1,N,,N,,N,,Y,NYISO,40.799,-73.9094,3107
15296,New York Power Authority,123 Main St,White Plains,NY,10601,7914,Harlem River Yard,680-780E 132nd St,Bronx,Bronx,NY,10454,N/A,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,138,1,N,,N,,N,,Y,NYISO,40.7991,-73.9156,3108
15296,New York Power Authority,123 Main St,White Plains,NY,10601,7915,North 1st,North 1st & Grand 47-79 River,Brooklyn,Kings,NY,11211,N/A,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,138,1,N,,N,,N,,Y,NYISO,40.7171,-73.9664,3109
15296,New York Power Authority,123 Main St,White Plains,NY,10601,8053,Pouch,143 Edgewater Street,Staten Island,Richmond,NY,10305,,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,138,1,N,,N,,N,,Y,NYISO,40.6182,-74.06849,3110
15296,New York Power Authority,123 Main St,White Plains,NY,10601,56196,500MW CC,19-51 20th Ave,Astoria,Queens,NY,11105,East River,NPCC,22,Consolidated Edison Co-NY Inc,4226,NY,RE,Electric Utility,345,1,N,,N,,N,,Y,NYISO,40.7889,-73.9069,3111
15399,Iberdrola Renewables Inc,"1125 NW Couch , Ste. 700",Portland,OR,97209,56398,Jordanville Wind Farm,3 mi Point Pk &US Rte 20,Stark,Herkimer,NY,13407,,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP Non-CHP,230,2,N,,N,,N,,Y,NYISO,43.5,-75,3154
16729,Saranac Power Partners LP,99 Weed St Ext,Plattsburgh,NY,12901,54574,Saranac Facility,99 Weed Street,Plattsburgh,Clinton,NY,12901,Air Cooled,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP Non-CHP,115,2,N,,N,,Y,09-31-000,Y,NYISO,44.7132,-73.4557,3473
