transaction_id,transaction_type,transaction_type_desc,year,filing_type,filing_included_nsfs,amount,registrant_name,registrant_is_firm,client_name,client_category,client_ext_id,client_parent_name,include_in_industry_totals,use,affiliate,serialid
B05C4BF1-F9F3-4FC3-8D69-158154E3A84A,q4,FOURTH QUARTER REPORT,2010,i,f,20000,Bluewater Strategies,t,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,f,t,f,397
515AF4A8-34FF-4E80-A1C4-624F5317D323,er,YEAR-END REPORT,2000,n,f,10500,"Sklar, Stella KZ",t,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,t,t,f,3172
51C1A606-DE59-4566-95B0-4E1AEC27A9B6,et,YEAR-END TERMINATION,2006,n,f,0,Greenberg Traurig LLP,t,Arizona Solar Energy Industries Assn,E1500,,Arizona Solar Energy Industries Assn,t,t,f,4127
33573A5F-B1C2-43E8-8657-E48B662ABA54,er,YEAR-END REPORT,2007,i,f,120000,Ernst & Young,t,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,f,t,f,15279
00AE584F-50DE-499F-B1A5-4EF869257FE7,m,MID-YEAR REPORT,2004,i,f,0,P Strategies Inc,t,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,f,t,f,18539
71978E29-B774-46D7-A9E0-A67DCBCCE785,m,MID-YEAR REPORT,2006,i,f,0,Ernst & Young,t,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,f,t,f,24488
B202A50E-9246-44BF-BF45-C36F1DBCA490,m,MID-YEAR REPORT,2007,p,f,300000,Solar Energy Industries Assn,f,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,f,f,f,39532
B2D3D854-B801-482C-B018-87F2CDC18945,q1,FIRST QUARTER REPORT,2011,p,f,311200,Solar Energy Industries Assn,f,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,t,t,f,51378
9434BAE8-7A86-464D-9ECB-A25A709BCF9F,m,MID-YEAR REPORT,2003,p,f,40000,Solar Energy Industries Assn,f,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,t,t,f,54596
1998/01/000/128/000128309-6,er,YEAR-END REPORT,1998,n,f,40000,Stella Group,t,Solar Energy Industries Assn,E1500,,Solar Energy Industries Assn,t,t,f,55604
