zip_code,building_type_service_class,consumption_kwh,consumption_gj,utility_data_source,serialid
"10001
(40.75025902143676, -73.99688630375988)",Commercial,23328498,83983,ConEd,1
"10002
(40.71612146793143, -73.98583147024613)",Commercial,25546333,91967,ConEd,2
"10003
(40.73194394755518, -73.98887214913032)",Commercial,34683872,124862,ConEd,3
"10004
(40.688827825343935, -74.01911250583743)",Commercial,3632905,13078,ConEd,4
"10005
(40.7061257920717, -74.00858468583453)",Commercial,1783763,6422,ConEd,5
"10006
(40.70825614030866, -74.01355356964149)",Commercial,1847116,6650,ConEd,6
"10007
(40.71363051943297, -74.00913138370635)",Commercial,3665693,13196,ConEd,7
"10008
(40.712344999722006, -74.00994500036143)",Commercial,3561,13,ConEd,8
"10009
(40.72664935898081, -73.97911148500697)",Commercial,15000190,54001,ConEd,9
"10010
(40.73914078212147, -73.98289845639863)",Commercial,16046538,57768,ConEd,10
"10011
(40.74471526669623, -74.00460000028977)",Commercial,27134322,97684,ConEd,11
"10012
(40.72553802086304, -73.99789641059084)",Commercial,19995304,71983,ConEd,12
"10013
(40.721242188776046, -74.00888900022716)",Commercial,30246836,108889,ConEd,13
"10014
(40.73358645135369, -74.01019960472792)",Commercial,25569356,92050,ConEd,14
"10015
",Commercial,2790,10,ConEd,15
"10016
(40.745242969987146, -73.97823298586354)",Commercial,23455700,84441,ConEd,16
"10017
(40.75245652744684, -73.97297648087982)",Commercial,10331658,37194,ConEd,17
"10018
(40.756840774582145, -73.99669149981281)",Commercial,13117339,47222,ConEd,18
"10019
(40.76761164715987, -73.99180550022362)",Commercial,22295708,80265,ConEd,19
"10020
(40.7594985131459, -73.98007439721562)",Commercial,46864,169,ConEd,20
"10021
(40.76920532766377, -73.959183941086)",Commercial,31141570,112110,ConEd,21
"10022
(40.758630224005685, -73.96809182217982)",Commercial,17588978,63320,ConEd,22
"10023
(40.774536138232236, -73.97994335610099)",Commercial,20577001,74077,ConEd,23
"10024
(40.78362556816552, -73.96653900057436)",Commercial,16768690,60367,ConEd,24
"10025
(40.79685012763133, -73.96372581059762)",Commercial,18169710,65411,ConEd,25
"10026
(40.80305812163505, -73.95334277604826)",Commercial,9880365,35569,ConEd,26
"10027
(40.811549564460904, -73.95290033568193)",Commercial,20531586,73914,ConEd,27
"10028
(40.776344978837756, -73.95296667956859)",Commercial,15841851,57031,ConEd,28
"10029
(40.79161072055837, -73.94403228106489)",Commercial,15727453,56619,ConEd,29
"10030
(40.81843517604261, -73.94276530357587)",Commercial,9395863,33825,ConEd,30
