well_permit_number,period_id,production_indicator,well_status,farm_name,well_number,gas_quantity,gas_production_days,condensate_quanitity,condensate_production_days,oil_quantity,oil_production_days,averaged,operator_name,ogo_number,well_county,well_municipality,well_latitude,well_longitude,unconventional,well_configuration_code,home_use,reporting_period,comment_reason,comment_text,serialid
003-21786,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 2,2,5619,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,FRAZER,40.565072,-79.793761,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,400
003-21787,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 6,6,2717,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.558519,-79.782444,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,401
003-21789,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 1,1,3734,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,FRAZER,40.565347,-79.786666,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,402
003-21790,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 3,3,7529,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.562244,-79.792233,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,403
003-21791,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 4,4,5596,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.562035,-79.783791,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,404
003-21792,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 7,7,6236,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.562658,-79.775888,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,405
003-21793,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 8,8,2872,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.576149,-79.774721,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,406
003-21794,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 9,9,6248,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.556172,-79.774452,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,407
003-21797,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 10,10,4417,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.554172,-79.778852,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,408
003-21850,2011-0,Y,ACTIVE,ALLEGHENY ENERGY 14,14,7554,365,,,,,N,HUNTLEY & HUNTLEY INC,OGO-28279,ALLEGHENY,SPRINGDALE,40.554033,-79.77158,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,427
003-20953,2011-0,Y,ACTIVE,VALLEY HEIGHTS 3,3,1460,348,,,,,N,ENERGY CORP OF AMER,OGO-33798,ALLEGHENY,PLUM,40.522059,-79.803924,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,545
003-20954,2011-0,Y,ACTIVE,VALLEY HEIGHTS 2,2,1453,354,,,,,N,ENERGY CORP OF AMER,OGO-33798,ALLEGHENY,PLUM,40.524804,-79.801497,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,546
003-21201,2011-0,Y,ACTIVE,BLISSMAN 2,2,3650,365,,,,,N,GREAT OAK ENERGY INC,OGO-33810,ALLEGHENY,NORTH VERSAILLES,40.373646,-79.773875,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,547
003-21315,2011-0,Y,ACTIVE,SCHEETZ 1,1,203,365,,,,,N,GREAT OAK ENERGY INC,OGO-33810,ALLEGHENY,LINCOLN,40.304805,-79.857922,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,548
003-21316,2011-0,Y,ACTIVE,BLOTZER 1,1,7597,365,,,,,N,GREAT OAK ENERGY INC,OGO-33810,ALLEGHENY,LINCOLN,40.292659,-79.851376,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,549
003-21318,2011-0,Y,ACTIVE,RANKIN 1,1,120,365,,,,,N,GREAT OAK ENERGY INC,OGO-33810,ALLEGHENY,ELIZABETH,40.287841,-79.824403,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,550
003-21991,2011-0,N,ACTIVE,FEKULA 1,1,,,,,,,N,FORTRESS ENERGY CORP,OGO-34106,ALLEGHENY,FORWARD,40.259633,-79.888874,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",Transferred this well,,606
003-22140,2011-0,N,ACTIVE,TORBICH 1,1,,,,,,,N,FORTRESS ENERGY CORP,OGO-34106,ALLEGHENY,FORWARD,40.263639,-79.891572,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)","Never Spud Well, Permit Expired or Cancelled",,607
003-00798,2011-0,Y,ACTIVE,J WALLACE 3,3,,,,,8,144,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.390062,-80.218696,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,610
003-00799,2011-0,Y,ACTIVE,J WALLACE 4,4,,,,,8,144,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.389101,-80.218696,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,611
